source,category,method
QQQ,core_growth,wikipedia_nasdaq100_fallback
IVV,large_cap_core,unavailable
VOO,large_cap_core,unavailable
VUG,large_cap_growth,unavailable
IWF,large_cap_growth,unavailable
SCHG,large_cap_growth,unavailable
MGK,large_cap_growth,unavailable
IWO,small_mid_growth,unavailable
VTWG,small_mid_growth,unavailable
IJT,small_mid_growth,unavailable
IJK,small_mid_growth,unavailable
SMH,semiconductor_ai,unavailable
SOXX,semiconductor_ai,unavailable
SOXQ,semiconductor_ai,unavailable
XSD,semiconductor_ai,unavailable
AIQ,semiconductor_ai,unavailable
BOTZ,semiconductor_ai,unavailable
ROBO,semiconductor_ai,unavailable
ARKQ,semiconductor_ai,failed_ark_csv
QTUM,semiconductor_ai,unavailable
IGV,software_cloud,unavailable
WCLD,software_cloud,unavailable
SKYY,software_cloud,unavailable
CIBR,cybersecurity,unavailable
HACK,cybersecurity,unavailable
ARKK,innovation_high_beta,failed_ark_csv
ARKW,innovation_high_beta,failed_ark_csv
ARKG,innovation_high_beta,failed_ark_csv
XBI,biotech,unavailable
IBB,biotech,unavailable
TAN,clean_energy,unavailable
ICLN,clean_energy,unavailable
QCLN,clean_energy,unavailable
URA,uranium_nuclear,unavailable
BLOK,blockchain_fintech,unavailable
BKCH,blockchain_fintech,unavailable
FINX,blockchain_fintech,unavailable
IPO,innovation_high_beta,unavailable
