ticker,category,source_weight,source
AAPL,manual_core,5,manual
MSFT,manual_core,5,manual
NVDA,manual_core,5,manual
AMD,manual_core,5,manual
AVGO,manual_core,5,manual
TSLA,manual_core,5,manual
META,manual_core,5,manual
GOOGL,manual_core,5,manual
GOOG,manual_core,5,manual
AMZN,manual_core,5,manual
NFLX,manual_core,5,manual
ADBE,manual_core,5,manual
CRM,manual_core,5,manual
ORCL,manual_core,5,manual
NOW,manual_core,5,manual
SNOW,manual_core,4,manual
MDB,manual_core,4,manual
DDOG,manual_core,4,manual
NET,manual_core,4,manual
CRWD,manual_core,4,manual
PANW,manual_core,4,manual
ZS,manual_core,4,manual
PLTR,manual_core,4,manual
SMCI,manual_core,4,manual
ARM,manual_core,4,manual
MSTR,manual_core,4,manual
COIN,manual_core,4,manual
RKLB,manual_core,4,manual
ASTS,manual_core,4,manual
OKLO,manual_core,4,manual
QBTS,manual_core,4,manual
IONQ,manual_core,4,manual
RGTI,manual_core,4,manual
SOUN,manual_core,4,manual
HIMS,manual_core,4,manual
CELH,manual_core,4,manual
APP,manual_core,4,manual
HOOD,manual_core,4,manual
SHOP,manual_core,4,manual
SE,manual_core,4,manual
MELI,manual_core,4,manual
TSM,manual_core,4,manual
ASML,manual_core,4,manual
MRVL,manual_core,4,manual
MU,manual_core,4,manual
LRCX,manual_core,4,manual
KLAC,manual_core,4,manual
AMAT,manual_core,4,manual
TER,manual_core,4,manual
MPWR,manual_core,4,manual
ALAB,manual_core,4,manual
DELL,manual_core,4,manual
ANET,manual_core,4,manual
VRT,manual_core,4,manual
CEG,manual_core,4,manual
GEV,manual_core,4,manual
NXT,manual_core,4,manual
ENPH,manual_core,3,manual
SEDG,manual_core,3,manual
FSLR,manual_core,3,manual
LEU,manual_core,3,manual
UUUU,manual_core,3,manual
PLUG,manual_core,3,manual
BE,manual_core,3,manual
