ticker,source_count,source_weight_sum,theme_count,sources,categories,in_large_cap_core,in_manual_core
AAPL,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
ADBE,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
AMD,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
AMZN,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
AVGO,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
CRM,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
GOOG,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
GOOGL,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
META,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
MSFT,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
NFLX,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
NOW,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
NVDA,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
ORCL,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
TSLA,2,8.0,2,"SPY,manual","large_cap_core,manual_core",1,1
AMAT,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
ANET,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
APP,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
CEG,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
COIN,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
CRWD,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
DDOG,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
DELL,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
GEV,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
HOOD,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
KLAC,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
LRCX,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
MPWR,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
MRVL,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
MU,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
PANW,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
PLTR,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
SMCI,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
TER,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
VRT,2,7.0,2,"SPY,manual","large_cap_core,manual_core",1,1
FSLR,2,6.0,2,"SPY,manual","large_cap_core,manual_core",1,1
ALAB,1,4.0,1,manual,manual_core,0,1
ARM,1,4.0,1,manual,manual_core,0,1
ASML,1,4.0,1,manual,manual_core,0,1
ASTS,1,4.0,1,manual,manual_core,0,1
CELH,1,4.0,1,manual,manual_core,0,1
HIMS,1,4.0,1,manual,manual_core,0,1
IONQ,1,4.0,1,manual,manual_core,0,1
MDB,1,4.0,1,manual,manual_core,0,1
MELI,1,4.0,1,manual,manual_core,0,1
MSTR,1,4.0,1,manual,manual_core,0,1
NET,1,4.0,1,manual,manual_core,0,1
NXT,1,4.0,1,manual,manual_core,0,1
OKLO,1,4.0,1,manual,manual_core,0,1
QBTS,1,4.0,1,manual,manual_core,0,1
RGTI,1,4.0,1,manual,manual_core,0,1
RKLB,1,4.0,1,manual,manual_core,0,1
SE,1,4.0,1,manual,manual_core,0,1
SHOP,1,4.0,1,manual,manual_core,0,1
SNOW,1,4.0,1,manual,manual_core,0,1
SOUN,1,4.0,1,manual,manual_core,0,1
TSM,1,4.0,1,manual,manual_core,0,1
ZS,1,4.0,1,manual,manual_core,0,1
A,1,3.0,1,SPY,large_cap_core,1,0
ABBV,1,3.0,1,SPY,large_cap_core,1,0
ABNB,1,3.0,1,SPY,large_cap_core,1,0
ABT,1,3.0,1,SPY,large_cap_core,1,0
ACGL,1,3.0,1,SPY,large_cap_core,1,0
ACN,1,3.0,1,SPY,large_cap_core,1,0
ADI,1,3.0,1,SPY,large_cap_core,1,0
ADM,1,3.0,1,SPY,large_cap_core,1,0
ADP,1,3.0,1,SPY,large_cap_core,1,0
ADSK,1,3.0,1,SPY,large_cap_core,1,0
AEE,1,3.0,1,SPY,large_cap_core,1,0
AEP,1,3.0,1,SPY,large_cap_core,1,0
AES,1,3.0,1,SPY,large_cap_core,1,0
AFL,1,3.0,1,SPY,large_cap_core,1,0
AIG,1,3.0,1,SPY,large_cap_core,1,0
AIZ,1,3.0,1,SPY,large_cap_core,1,0
AJG,1,3.0,1,SPY,large_cap_core,1,0
AKAM,1,3.0,1,SPY,large_cap_core,1,0
