ticker,source,category,source_weight,method
AAL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ABNB,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ADI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ADP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AEOS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AEP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AKAM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ALAB,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ALGN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ALNY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ALTR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ALXN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AMD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AMLN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ANSS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
APCC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
APOL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
APP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ARM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ASML,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ATVI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AVGO,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AXON,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
AZN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BATRA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BATRK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BBBY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BEAS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BIDU,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BIIB,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BKR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BMC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BMET,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
BMRN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CCEP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CDNS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CDW,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CDWC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CEG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CELG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CEPH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CERN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CHKP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CHRW,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CHTR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CKFR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CMCSA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CMVT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CPRT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CRWD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CRWV,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CSGP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CSX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CTAS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CTRX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CTSH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
CTXS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DASH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DDOG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DELL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DISCA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DISCK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DISH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DLTR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DOCU,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DTV,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
DXCM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EBAY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ENDP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ENPH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EQIX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ERIC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ESRX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EXC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EXPD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
EXPE,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FANG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FER,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FFIV,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FLEX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FLIR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FMCN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FOSL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FOX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FOXA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FSLR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FTNT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
FWLT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GEHC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GENZ,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GFS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GMCR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GOLD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GOOG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
GRMN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
HANS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
HAS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
HOLX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
HON,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
HSIC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
IACI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
IDXX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ILMN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
INCY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
INFY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
INSM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
JAVA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
JBHT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
JD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
JNPR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
JOYG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
KDP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
KFT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
KHC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
KLAC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
KRFT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LAMR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LBTYA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LBTYK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LCID,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LEAP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LIFE,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LILA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LILAK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LIN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LITE,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LLTC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LMCA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LMCK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LOGI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LRCX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LULU,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
LVLT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MAR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MAT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MCHP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MDB,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MEDI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MELI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
META,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MICC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MNST,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MPWR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MRNA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MRVL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MSTR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MTCH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MU,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MXIM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MYL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NBIS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NCLH,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NFLX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NIHD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NLOK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NLTI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NTAP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NTES,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NUAN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NWSA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
NXPI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ODFL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
OKTA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ON,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ORCL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ORLY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PANW,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PCLN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PDCO,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PDD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PEP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PETM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PLTR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PPDI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PRGO,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PTEN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PTON,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
PYPL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
QGEN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
QRTEA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
REGN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
RIMM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
RIVN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
RKLB,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ROP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ROST,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
RYAAY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SBAC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SEPR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SGEN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SHLD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SHOP,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SHPG,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SIAL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SIRI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SMCI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SNDK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SNPS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
SOLS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
