ticker,category,source_weight,provider_hint
QQQ,core_growth,4,invesco
SPY,large_cap_core,3,wikipedia_sp500
IVV,large_cap_core,3,ishares
VOO,large_cap_core,3,vanguard
VUG,large_cap_growth,4,vanguard
IWF,large_cap_growth,4,ishares
SCHG,large_cap_growth,4,schwab
MGK,large_cap_growth,4,vanguard
IWO,small_mid_growth,3,ishares
VTWG,small_mid_growth,3,vanguard
IJT,small_mid_growth,3,ishares
IJK,small_mid_growth,3,ishares
SMH,semiconductor_ai,5,vaneck
SOXX,semiconductor_ai,5,ishares
SOXQ,semiconductor_ai,5,invesco
XSD,semiconductor_ai,5,spdr
AIQ,semiconductor_ai,4,globalx
BOTZ,semiconductor_ai,4,globalx
ROBO,semiconductor_ai,4,robo
ARKQ,semiconductor_ai,4,ark
QTUM,semiconductor_ai,4,defiance
IGV,software_cloud,5,ishares
WCLD,software_cloud,5,wisdomtree
SKYY,software_cloud,5,firsttrust
CIBR,cybersecurity,4,firsttrust
HACK,cybersecurity,4,amplify
ARKK,innovation_high_beta,4,ark
ARKW,innovation_high_beta,4,ark
ARKG,innovation_high_beta,4,ark
XBI,biotech,3,spdr
IBB,biotech,3,ishares
TAN,clean_energy,3,invesco
ICLN,clean_energy,3,ishares
QCLN,clean_energy,3,firsttrust
URA,uranium_nuclear,3,globalx
BLOK,blockchain_fintech,3,amplify
BKCH,blockchain_fintech,3,globalx
FINX,blockchain_fintech,3,globalx
IPO,innovation_high_beta,3,renaissance
