feature,feature_group,missing_count,missing_rate,non_null_rows,non_null_rate,first_valid_month,last_valid_month,dropped,drop_reason
rel_mom_12m_vs_qqq,relative_strength,446,0.008657504464632346,51070,0.9913424955353677,2016-01-31,2026-06-30,False,
mom_12m,other_momentum,446,0.008657504464632346,51070,0.9913424955353677,2016-01-31,2026-06-30,False,
up_day_volume_ratio_3m,volume_flow,380,0.007376349095426664,51136,0.9926236509045734,2016-01-31,2026-06-30,False,
up_day_dollar_volume_ratio_3m,volume_flow,380,0.007376349095426664,51136,0.9926236509045734,2016-01-31,2026-06-30,False,
mom_9m,other_momentum,331,0.006425188291016383,51185,0.9935748117089837,2016-01-31,2026-06-30,False,
mom_7m,other_momentum,256,0.004969329916919015,51260,0.995030670083081,2016-01-31,2026-06-30,False,
mom_6m,core_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
mom_4m_vs_6m,core_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
mom_5m_vs_6m,core_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
mom_6m_first3m,core_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
mom_6m_acceleration,core_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
ret_lag_6m,sequence_path,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
rel_mom_6m_vs_qqq,relative_strength,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
mom_3m_vs_6m,other_momentum,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
return_vol_ratio_6m,risk_drawdown,219,0.004251106452364314,51297,0.9957488935476357,2016-01-31,2026-06-30,False,
drawdown_12m,risk_drawdown,218,0.004231695007376349,51298,0.9957683049926237,2016-01-31,2026-06-30,False,
drawdown_12m_abs,risk_drawdown,218,0.004231695007376349,51298,0.9957683049926237,2016-01-31,2026-06-30,False,
ma100_slope_1m,trend,210,0.00407640344747263,51306,0.9959235965525274,2016-01-31,2026-06-30,False,
mom_5m,core_momentum,182,0.0035328829878096125,51334,0.9964671170121904,2016-01-31,2026-06-30,False,
core_mom_456_std,core_momentum,182,0.0035328829878096125,51334,0.9964671170121904,2016-01-31,2026-06-30,False,
ret_lag_5m,sequence_path,182,0.0035328829878096125,51334,0.9964671170121904,2016-01-31,2026-06-30,False,
volume_ma3_to_12m,volume_flow,182,0.0035328829878096125,51334,0.9964671170121904,2016-01-31,2026-06-30,False,
price_ma100_ratio,trend,174,0.003377591427905893,51342,0.996622408572094,2016-01-31,2026-06-30,False,
volume_change_3m,volume_flow,171,0.0033193570929419985,51345,0.996680642907058,2016-01-31,2026-06-30,False,
dollar_volume_change_3m,volume_flow,171,0.0033193570929419985,51345,0.996680642907058,2016-01-31,2026-06-30,False,
drawdown_change_3m,drawdown_recovery,160,0.0031058311980743845,51356,0.9968941688019256,2016-01-31,2026-06-30,False,
mom_4m,core_momentum,145,0.002814659523254911,51371,0.9971853404767451,2016-01-31,2026-06-30,False,
core_mom_456_avg,core_momentum,145,0.002814659523254911,51371,0.9971853404767451,2016-01-31,2026-06-30,False,
core_mom_456_min,core_momentum,145,0.002814659523254911,51371,0.9971853404767451,2016-01-31,2026-06-30,False,
core_mom_456_max,core_momentum,145,0.002814659523254911,51371,0.9971853404767451,2016-01-31,2026-06-30,False,
ret_lag_4m,sequence_path,145,0.002814659523254911,51371,0.9971853404767451,2016-01-31,2026-06-30,False,
ma50_slope_1m,trend,117,0.0022711390635918936,51399,0.9977288609364081,2016-01-31,2026-06-30,False,
mom_6m_last3m,core_momentum,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
ret_lag_3m,sequence_path,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
rel_mom_3m_vs_qqq,relative_strength,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
mom_3m,other_momentum,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
volatility_6m,risk_drawdown,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
return_vol_ratio_3m,risk_drawdown,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
volatility_1m_to_6m,vol_structure,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
volatility_3m_to_6m,vol_structure,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
avg_abs_daily_return_6m,volatility_amplitude_frequency,108,0.0020964360587002098,51408,0.9979035639412998,2016-01-31,2026-06-30,False,
drawdown_6m,risk_drawdown,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
drawdown_6m_abs,risk_drawdown,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
recovery_from_6m_low,drawdown_recovery,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
avg_dollar_volume_6m,liquidity_size_proxy,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
dollar_volume_3m_to_6m,liquidity_size_proxy,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
large_move_freq_6m,volatility_amplitude_frequency,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
up_big_move_freq_6m,volatility_amplitude_frequency,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
down_big_move_freq_6m,volatility_amplitude_frequency,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
intraday_range_mean_6m,volatility_amplitude_frequency,107,0.002077024613712245,51409,0.9979229753862877,2016-01-31,2026-06-30,False,
volume_change_1m,volume_flow,97,0.0018829101638325957,51419,0.9981170898361674,2016-01-31,2026-06-30,False,
dollar_volume_change_1m,volume_flow,97,0.0018829101638325957,51419,0.9981170898361674,2016-01-31,2026-06-30,False,
drawdown_change_1m,drawdown_recovery,86,0.0016693842689649817,51430,0.998330615731035,2016-01-31,2026-06-30,False,
ma30_slope_1m,trend,84,0.001630561378989052,51432,0.9983694386210109,2016-01-31,2026-06-30,False,
price_ma50_ratio,trend,80,0.0015529155990371922,51436,0.9984470844009629,2016-01-31,2026-06-30,False,
atr_14_to_100d,vol_structure,80,0.0015529155990371922,51436,0.9984470844009629,2016-01-31,2026-06-30,False,
volume_ma1_to_6m,volume_flow,78,0.0015140927090612625,51438,0.9984859072909388,2016-01-31,2026-06-30,False,
ret_lag_2m,sequence_path,72,0.001397624039133473,51444,0.9986023759608665,2016-01-31,2026-06-30,False,
ret_lag_6m_std,sequence_path,72,0.001397624039133473,51444,0.9986023759608665,2016-01-31,2026-06-30,False,
mom_2m,other_momentum,72,0.001397624039133473,51444,0.9986023759608665,2016-01-31,2026-06-30,False,
ma20_slope_1m,trend,68,0.0013199782591816135,51448,0.9986800217408184,2016-01-31,2026-06-30,False,
volume_ratio_3m,volume_flow,55,0.0010676294743380698,51461,0.998932370525662,2016-01-31,2026-06-30,False,
volatility_3m,risk_drawdown,53,0.00102880658436214,51463,0.9989711934156379,2016-01-31,2026-06-30,False,
volatility_1m_to_3m,vol_structure,53,0.00102880658436214,51463,0.9989711934156379,2016-01-31,2026-06-30,False,
avg_abs_daily_return_3m,volatility_amplitude_frequency,53,0.00102880658436214,51463,0.9989711934156379,2016-01-31,2026-06-30,False,
ma10_slope_1m,trend,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
drawdown_3m,risk_drawdown,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
drawdown_3m_abs,risk_drawdown,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
recovery_from_3m_low,drawdown_recovery,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
days_since_3m_high_norm,drawdown_recovery,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
days_since_3m_low_norm,drawdown_recovery,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
avg_dollar_volume_3m,liquidity_size_proxy,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
log_avg_dollar_volume_3m,liquidity_size_proxy,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
large_move_freq_3m,volatility_amplitude_frequency,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
up_big_move_freq_3m,volatility_amplitude_frequency,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
down_big_move_freq_3m,volatility_amplitude_frequency,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
intraday_range_mean_3m,volatility_amplitude_frequency,50,0.0009705722493982452,51466,0.9990294277506018,2016-01-31,2026-06-30,False,
price_ma30_ratio,trend,47,0.0009123379144343504,51469,0.9990876620855657,2016-01-31,2026-06-30,False,
ma5_slope_1m,trend,43,0.0008346921344824908,51473,0.9991653078655175,2016-01-31,2026-06-30,False,
return_vol_ratio_1m,risk_drawdown,37,0.0007182234645547015,51479,0.9992817765354453,2016-01-31,2026-06-30,False,
ret_lag_1m,sequence_path,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
positive_month_ratio_6m,sequence_path,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
ret_lag_6m_mean,sequence_path,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
ret_lag_6m_min,sequence_path,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
ret_lag_6m_max,sequence_path,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
rel_mom_1m_vs_qqq,relative_strength,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
mom_1m,other_momentum,36,0.0006988120195667365,51480,0.9993011879804332,2016-01-31,2026-06-30,False,
price_ma20_ratio,trend,33,0.0006405776846028418,51483,0.9993594223153972,2016-01-31,2026-06-30,False,
volatility_1m,risk_drawdown,28,0.0005435204596630173,51488,0.999456479540337,2016-01-31,2026-06-30,False,
avg_abs_daily_return_1m,volatility_amplitude_frequency,28,0.0005435204596630173,51488,0.999456479540337,2016-01-31,2026-06-30,False,
drawdown_1m,risk_drawdown,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
drawdown_1m_abs,risk_drawdown,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
recovery_from_1m_low,drawdown_recovery,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
avg_dollar_volume_1m,liquidity_size_proxy,26,0.0005046975696870875,51490,0.9994953024303129,2016-01-31,2026-06-30,False,
price_ma10_ratio,trend,15,0.0002911716748194736,51501,0.9997088283251805,2016-01-31,2026-06-30,False,
