month,rows,tickers,future_max_return_1_3m_mean,future_max_return_1_3m_p90,future_max_return_1_3m_p95,future_max_return_1_3m_max,label_top10_1_3m_count,label_top5_1_3m_count,label_boom30_top10_1_3m_count,label_boom40_top10_1_3m_count,label_boom50_top5_1_3m_count,label_mega100_1_3m_count
2016-01-31,476,476,0.13796088878029752,0.26128913645247276,0.2904486535188407,2.2919709585288284,48,24,21,9,6,2
2016-02-29,476,476,0.1507095290681015,0.2710997596851069,0.35116564644282716,2.41666670429586,48,24,38,17,7,2
2016-03-31,476,476,0.07026693660321175,0.16916349399106578,0.20824561767780642,0.8035087854321392,48,24,10,4,2,0
2016-04-30,476,476,0.0908431463978276,0.19464520800931184,0.2359561119207983,0.9323944297628595,48,24,8,6,5,0
2016-05-31,476,476,0.08325268590312897,0.1774372202596297,0.23993701285703278,0.7015520543604583,48,24,14,7,2,0
2016-06-30,476,476,0.09520999591409827,0.22730646439689717,0.2950834628597885,0.7260330223514455,48,24,22,9,3,0
2016-07-31,477,477,0.04295381580052466,0.15463034818285745,0.20291984415116218,0.6580000621747497,48,24,8,1,1,0
2016-08-31,478,478,0.06839178338259591,0.2014485733342853,0.2739804658597741,0.8815029355804032,48,24,17,6,3,0
2016-09-30,479,479,0.06537967786532105,0.22142231060153808,0.2849954870399796,0.6410999136034536,48,24,23,10,4,0
2016-10-31,480,480,0.11831612896522284,0.2494485228165928,0.3055342289461668,0.7749987125402868,49,25,30,12,8,0
2016-11-30,481,481,0.10407940030874768,0.20613990312290187,0.24271720082584802,0.6541353208240068,49,25,14,8,5,0
2016-12-31,481,481,0.10426409433023492,0.21955734701812113,0.2811782092407742,0.7722772066879007,49,25,20,8,6,0
2017-01-31,481,481,0.08560586866497902,0.17248721730842198,0.21399315147483255,1.113207670240996,49,25,10,8,1,1
2017-02-28,482,482,0.0650143830301986,0.17808297722287614,0.24096083389025563,1.0740740004880958,49,25,16,5,2,1
2017-03-31,482,482,0.06794796652623615,0.16330053339012818,0.20883902689928133,0.6231884183164556,49,25,8,3,1,0
2017-04-30,483,483,0.07287200385279993,0.1482938217477377,0.1874306510593631,0.8441440585177993,49,25,9,8,3,0
2017-05-31,484,484,0.06575735553145906,0.15198912194799255,0.19789993587634194,1.0368158617390488,49,25,7,4,2,1
2017-06-30,484,484,0.0762193785513966,0.18009195309943749,0.2415702220385311,0.7471264052822595,49,25,11,3,1,0
2017-07-31,484,484,0.08141376752401165,0.1940159496590347,0.256945325531809,0.627659548160014,49,25,14,8,3,0
2017-08-31,484,484,0.11353657719796384,0.23438403117244538,0.29696632853143695,2.1521739595215803,49,25,22,5,2,1
2017-09-30,484,484,0.0981618732190438,0.21635016877050375,0.25519878827921627,0.9078948235247617,49,25,14,3,1,0
2017-10-31,486,486,0.11552706309180799,0.24682802687362715,0.2990970480605402,0.895424934376454,49,25,24,5,3,0
2017-11-30,486,486,0.08182578970405005,0.18514218229777057,0.23526860452295162,0.5533639721172019,49,25,15,4,1,0
2017-12-31,486,486,0.07393177389346692,0.18420320081519592,0.24020265359376797,0.8962655638604142,49,25,12,7,2,0
2018-01-31,487,487,0.0028824985261906447,0.10329224316708083,0.14759259835743635,1.0772727602769514,49,25,7,4,3,1
2018-02-28,487,487,0.055523615077903044,0.16794991680023055,0.24446484080928085,0.8283088417296096,49,25,15,7,5,0
2018-03-31,488,488,0.06786835510271537,0.18453653808653442,0.25549027924795736,1.0261567904485998,49,25,17,8,4,1
2018-04-30,488,488,0.09426315838720926,0.19754573977933762,0.25197638775972503,0.9920627480192623,49,25,17,10,8,0
2018-05-31,488,488,0.10105991253943644,0.20888923559171862,0.2693272860066684,1.244020796711427,49,25,18,10,9,1
2018-06-30,488,488,0.1018195967573482,0.2079822798781523,0.2589478655918694,1.0607071288396845,49,25,16,9,6,1
2018-07-31,489,489,0.0629000400372244,0.15622792547756698,0.21871758278727532,0.789729520460849,49,25,10,9,6,0
2018-08-31,490,490,0.024370648950292527,0.10164585594272443,0.13757186659796025,0.25497160075116954,50,25,0,0,0,0
2018-09-30,490,490,-0.02951427228366283,0.08549910332169362,0.11851084343405037,0.3237149709186413,50,25,1,0,0,0
